Date,Open,High,Low,Close,Volume,MA_20,MA_50,RSI
2024-03-07,185.0,187.49,184.0,184.97,939640.0,187.0425,183.85559999999998,46.63813965743638
2024-03-08,185.3,187.0,182.5,182.85,2152131.0,186.9775,184.0792,43.546503483504274
2024-03-11,182.9,182.9,181.0,182.01,241680.0,186.991,184.22799999999998,42.34862011831253
2024-03-12,182.28,182.28,180.25,181.69,116022.0,186.7555,184.305,41.876032705304056
2024-03-13,181.99,181.99,180.0,180.46,1018444.0,186.47899999999998,184.2278,40.027036010335756
2024-03-14,181.0,181.0,178.52,179.65,880930.0,186.3585,184.12099999999998,38.81169594356572
2024-03-15,179.25,180.79,177.6,178.34,241422.0,186.1825,183.9862,36.86230974043422
2024-03-18,179.0,180.0,178.6,179.78,282512.0,186.17000000000002,183.88819999999998,40.40567599809028
2024-03-19,180.0,181.99,179.22,181.22,9031380.0,186.2745,183.8396,43.802175402893965
2024-03-20,180.75,181.99,179.4,180.02,4451128.0,186.1275,183.8516,41.670790797567726
2024-03-21,180.98,181.0,178.13,178.76,405499.0,185.772,183.8344,39.49753844901599
2024-03-22,179.0,179.0,174.69,176.14,631379.0,185.1385,183.7852,35.36712435135114
2024-03-25,177.5,177.95,175.0,176.17,1364948.0,184.4175,183.7136,35.45036242458946
2024-03-26,177.95,179.35,176.5,178.61,757753.0,183.93400000000003,183.68200000000002,41.99366794849566
2024-03-27,178.62,183.0,178.62,181.51,2484510.0,183.5955,183.7164,48.655452412210145
2024-03-28,182.0,183.81,180.03,181.79,8739676.0,183.0735,183.7642,49.26134941289683
2024-03-29,181.93,182.94,180.64,182.28,4231135.0,182.5555,183.748,50.36520792296503
2024-04-01,182.0,183.11,181.5,181.91,557715.0,181.951,183.7218,49.48966124248925
2024-04-02,181.01,182.2,180.51,181.27,297945.0,181.2465,183.6916,47.93732636187966
2024-04-03,181.99,182.0,181.0,181.03,240902.0,180.523,183.6714,47.3376818372212
2024-04-04,181.5,181.8,180.0,181.32,304230.0,180.3405,183.6158,48.18117021901678
2024-04-08,182.0,186.47,182.0,185.77,471334.0,180.4865,183.6352,59.02622612670651
2024-04-09,187.0,193.19,185.1,188.71,2029359.0,180.8215,183.71940000000004,64.33674733207704
2024-04-15,187.27,193.5,187.27,193.15,820119.0,181.3945,183.9186,70.54548582333344
2024-04-16,192.57,195.92,192.0,192.92,1398950.0,182.01749999999998,184.1182,69.8669330246912
2024-04-17,193.5,198.6,191.66,195.17,3439247.0,182.7935,184.42,72.63947546022858
2024-04-18,195.5,195.9,191.66,194.8,1789956.0,183.6165,184.6748,71.47483488841971
2024-04-19,194.01,198.63,194.01,197.51,1439054.0,184.503,184.97459999999998,74.6772808120447
2024-04-22,198.0,204.74,198.0,202.65,1888627.0,185.5745,185.3746,79.40094881632491
2024-04-23,203.0,206.41,203.0,205.01,1072960.0,186.824,185.7868,81.1404837086268
2024-04-24,205.5,208.92,205.0,205.67,1697458.0,188.1695,186.18040000000002,81.60824650916372
2024-04-25,196.05,201.45,193.55,200.38,2590036.0,189.38150000000002,186.505,67.21775699421053
2024-04-26,200.38,203.25,198.13,200.47,1100319.0,190.5965,186.87959999999998,67.32332950263222
2024-04-29,200.41,201.0,197.5,198.9,1250468.0,191.611,187.12959999999998,63.482641814910984
2024-04-30,200.0,200.9,193.1,193.65,1281960.0,192.21800000000002,187.28279999999998,52.66340396647502
2024-05-02,194.0,194.0,191.25,192.05,600297.0,192.731,187.48260000000002,49.87369690891115
2024-05-03,193.93,194.55,191.5,194.22,284099.0,193.328,187.72979999999998,53.47346727809919
2024-05-06,195.85,197.96,195.35,196.88,295231.0,194.0765,188.0668,57.5023160901515
2024-05-07,197.6,197.9,195.51,196.43,169181.0,194.8345,188.41279999999998,56.60925072198199
2024-05-08,196.96,197.0,193.7,194.97,538672.0,195.5315,188.653,53.695446335033566
2024-05-09,195.11,195.9,193.5,194.36,183071.0,196.1835,188.82280000000003,52.4800200038995
2024-05-10,195.01,196.0,193.0,195.01,251080.0,196.64550000000003,188.9468,53.68311179262652
2024-05-13,195.0,197.0,194.5,196.29,367453.0,197.02450000000002,189.06080000000003,56.04320847801818
2024-05-14,196.98,200.0,196.2,199.7,962731.0,197.352,189.28920000000002,61.64966744847019
2024-05-15,200.0,206.7,199.0,205.67,2962612.0,197.9895,189.63699999999997,69.08411886246034
2024-05-16,205.1,215.0,205.01,214.54,2740285.0,198.958,190.0832,76.40333268731086
2024-05-17,215.0,216.55,208.2,213.93,5154062.0,199.9145,190.50900000000001,75.08678315428931
2024-05-20,214.89,214.89,211.75,212.26,2456232.0,200.652,190.87420000000003,71.45652020544365
2024-05-21,214.26,216.0,209.1,215.51,2974726.0,201.295,191.27720000000002,74.0826530982497
2024-05-22,216.74,217.75,215.25,216.92,716766.0,201.8905,191.7056,75.15082745624127
2024-05-23,216.02,218.35,212.11,214.06,1104945.0,202.31,192.28740000000002,68.94386869413276
2024-05-24,214.9,222.1,214.11,221.71,2645450.0,203.3765,193.06459999999998,74.91258672499721
2024-05-27,221.75,221.75,217.0,221.26,2971497.0,204.416,193.84959999999998,74.0114957257546
2024-05-29,223.98,223.98,219.0,221.28,1671387.0,205.535,194.6414,74.02644938037851
2024-05-30,222.9,222.98,218.01,221.33,1091586.0,206.919,195.4588,74.0666238186001
2024-05-31,220.01,223.8,218.01,223.33,661174.0,208.483,196.3324,75.68660080729882
2024-06-03,223.0,223.0,218.9,221.57,1168893.0,209.8505,197.197,71.45642492140786
2024-06-04,223.0,223.0,220.26,221.28,499092.0,211.07049999999998,198.02700000000002,70.75470347000308
2024-06-05,222.0,222.0,219.1,219.99,803153.0,212.2485,198.8024,67.57570408302621
2024-06-06,219.19,221.99,218.49,218.58,853358.0,213.429,199.5736,64.18134318051844
